family	elements	frames
ERVK	HERVK22I,HERVK13I,LTR14B,HERVK9I,LTR13,LTR5B,HERVKC4,MER9,MER11C,HERVK11I,HERV-K14CI,HERV-K14I,HERVK3I,LTR5A,HERVK,HERVK11DI	HERVK22I:1856:2324,HERVK22I:2296:4999,HERVK22I:4793:6821,HERVK22I:2477:2345,HERVK22I:954:831,HERVK13I:1144:1366,HERVK13I:3563:4328,HERVK13I:6078:5955,HERVK13I:5513:5366,HERVK13I:5073:5001,HERVK13I:1911:1734,LTR14B:492:420,HERVK9I:152:1556,HERVK9I:1275:1449,HERVK9I:2364:5094,HERVK9I:4891:5224,HERVK9I:5213:6020,HERVK9I:2687:2159,LTR13:780:648,LTR5B:869:1001,HERVKC4:2048:2144,HERVKC4:4173:4086,HERVKC4:2112:1953,MER9:81:207,MER11C:705:822,HERVK11I:696:1107,HERVK11I:2581:3079,HERVK11I:2831:2963,HERVK11I:3294:5766,HERVK11I:5623:7951,HERVK11I:6824:7022,HERVK11I:6356:6242,HERV-K14CI:170:2042,HERV-K14CI:3063:5178,HERV-K14CI:4942:5065,HERV-K14CI:5237:7433,HERV-K14CI:6243:6342,HERV-K14CI:6787:6589,HERV-K14CI:977:644,HERV-K14I:148:1795,HERV-K14I:2353:2485,HERV-K14I:2816:5180,HERV-K14I:3423:3516,HERV-K14I:5568:5712,HERV-K14I:5511:5295,HERV-K14I:3866:3779,HERV-K14I:3146:3062,HERV-K14I:1378:1150,HERVK3I:6004:5953,HERVK3I:5061:4974,LTR5A:232:394,HERVK:2725:2947,HERVK:3162:5778,HERVK:4940:4979,HERVK:7497:7194,HERVK:3350:3200,HERVK:2981:2909,HERVK:1146:945,HERVK:870:741,HERVK:663:408,HERVK11DI:161:2225,HERVK11DI:531:942,HERVK11DI:3079:4327,HERVK11DI:4948:7090,HERVK11DI:7046:7106,HERVK11DI:6903:6807
TcMar-Mariner	ZOMBI,MARE1,HSMAR2,HSMAR1,MARE7,X32_DNA,X26_DNA,GOLEM,X13_DNA	ZOMBI:2283:2325,ZOMBI:2497:2647,MARE1:437:731,HSMAR2:246:321,HSMAR1:178:1207,HSMAR1:359:404,HSMAR1:1094:1148,MARE7:132:102,X32_DNA:169:322,X26_DNA:396:531,X26_DNA:326:209,GOLEM:462:2304,GOLEM:2003:1604,X13_DNA:442:397,X13_DNA:154:64
RTE-X	L5	L5:195:369,L5:1479:1638,L5:643:562
acro	6kbHsap	6kbHsap:278:233
LTR_like	MamRep605	MamRep605:539:713,MamRep605:857:707
telo	TAR1	TAR1:561:1815,TAR1:706:1699
Gypsy	MamGypLTR2,MamGypLTR1a,LTR81C,MamGypLTR2c,LTR104_Mam,LTR81B,MamGyp-int	MamGypLTR2:828:717,MamGypLTR1a:505:553,LTR81C:1060:1117,MamGypLTR2c:1058:731,LTR104_Mam:390:888,LTR81B:886:1153,LTR81B:1160:929,MamGyp-int:93:1275,MamGyp-int:4026:5061,MamGyp-int:4970:4703
hAT-Tip100	FORDPREFECT,ZAPHOD,MER63C,MamRep38,ORSL,MER45R	FORDPREFECT:232:505,ZAPHOD:2442:2688,ZAPHOD:3079:3154,ZAPHOD:3422:3230,MER63C:630:372,MamRep38:73:1,ORSL:166:136,MER45R:825:786
MULE-MuDR	Ricksha_a,RICKSHA	Ricksha_a:868:979,RICKSHA:112:148,RICKSHA:1575:1374
CR1	CR1_Mam,X20_LINE	CR1_Mam:711:927,CR1_Mam:1021:778,CR1_Mam:641:440,X20_LINE:146:2
Unknown	UCON91,UCON76,UCON32,UCON94,UCON89	UCON91:55:145,UCON76:131:2,UCON32:102:27,UCON94:9:132,UCON89:18:72
SINE	UCON55	UCON55:50:167
hAT	EuthAT-2,EuthAT-1,MER121,MER69C,MER69B	EuthAT-2:1908:1854,EuthAT-2:1389:1245,EuthAT-2:910:790,EuthAT-1:283:415,EuthAT-1:462:588,EuthAT-1:640:394,MER121:5:119,MER69C:1602:2142,MER69B:613:679
RTE	ALINE	ALINE:319:394
DNA	X27_DNA,MER28	X27_DNA:203:95,X27_DNA:193:88,MER28:19:199
Helitron	Helitron1Nb_Mam,Helitron3Na_Mam	Helitron1Nb_Mam:317:200,Helitron3Na_Mam:251:356
Eutr	EUTREP7,Eutr10,Eutr16,Eutr4	EUTREP7:347:206,Eutr10:341:689,Eutr16:486:549,Eutr4:172:295
ERVL_like	LTR89,LTR87	LTR89:762:324,LTR87:364:136
Satellite	LSAU	LSAU:496:730,LSAU:1599:1758,LSAU:319:130
centr	MER22	MER22:660:1227
ERV3	ERVL47	ERVL47:5015:5213,ERVL47:4047:3756
MIR	MIRc,MIRb	MIRc:136:106,MIRb:139:109
snRNA	UHG	UHG:307:433
Gypsy_like	LTR85b,LTR85a	LTR85b:646:385,LTR85a:128:29
HSFAU	HSFAU	HSFAU:56:455
TcMar-Tc2	Kanga1	Kanga1:1438:841
L2	L2	L2:215:3170,L2:645:777,L2:2913:3249,L2:2530:2347
