element	frame	el_class	el_family
HERVL74	HERVL74:2660:2405,HERVL74:172:289,HERVL74:2817:2451,HERVL74:3443:3569,HERVL74:3424:3820,HERVL74:2043:2109,HERVL74:2508:2982,HERVL74:3825:4491,HERVL74:1703:2030	LTR	ERVL
MER45R	MER45R:825:786	DNA	hAT-Tip100
MER22	MER22:660:1227	Satellite	centr
L1MB8	L1MB8:415:340	LINE	L1
LTR79	LTR79:162:201	LTR	ERVL
PRIMA41	PRIMA41:3636:3423,PRIMA41:5619:5415,PRIMA41:4657:4567,PRIMA41:3745:3574,PRIMA41:4519:5785,PRIMA41:2948:3101,PRIMA41:3177:2883	LTR	ERV1
MER106B	MER106B:302:170	DNA	hAT-Charlie
L5	L5:195:369,L5:643:562,L5:1479:1638	LINE	RTE-X
MER70A	MER70A:391:184	LTR	ERVL
HERVFH19I	HERVFH19I:2290:2092,HERVFH19I:3344:3479,HERVFH19I:5536:5611,HERVFH19I:6000:7665,HERVFH19I:871:1162,HERVFH19I:600:3447,HERVFH19I:160:424,HERVFH19I:3784:3607,HERVFH19I:5176:5287,HERVFH19I:2482:2341	LTR	ERV1
L1PA8	L1PA8:768:666,L1PA8:568:598,L1PA8:195:150,L1PA8:844:895,L1PA8:129:681,L1PA8:81:681	LINE	L1
LTR16E2	LTR16E2:356:53,LTR16E2:298:355,LTR16E2:306:561	LTR	ERVL
RPS2	RPS2:563:650,RPS2:78:963,RPS2:493:595,RPS2:118:151,RPS2:295:340	Other	Other
HUERS-P3B	HUERS-P3B:6274:6433,HUERS-P3B:2630:2552,HUERS-P3B:734:665,HUERS-P3B:6891:7305,HUERS-P3B:5191:5071,HUERS-P3B:5504:5576,HUERS-P3B:5325:5235	LTR	ERV1
MLT2F	MLT2F:429:594	LTR	ERVL
TIGGER6B	TIGGER6B:1556:1481	DNA	TcMar-Tigger
L1PA10	L1PA10:195:150,L1PA10:66:681,L1PA10:441:681,L1PA10:148:64	LINE	L1
HERV-K14I	HERV-K14I:3146:3062,HERV-K14I:2816:5180,HERV-K14I:5511:5295,HERV-K14I:5568:5712,HERV-K14I:3423:3516,HERV-K14I:2353:2485,HERV-K14I:3866:3779,HERV-K14I:5549:5657,HERV-K14I:148:1795,HERV-K14I:1378:1150	LTR	ERVK
MLT1C1	MLT1C1:281:392	LTR	ERVL-MaLR
MER50I	MER50I:6023:6290,MER50I:4069:4147,MER50I:1186:1090,MER50I:6897:7071,MER50I:5631:5592	LTR	ERV1
HUERS-P1	HUERS-P1:6152:6011,HUERS-P1:6036:6243,HUERS-P1:1097:1289	LTR	ERV1
HERV49I	HERV49I:4784:4937	LTR	ERV1
L1MEA_5	L1MEA_5:610:442,L1MEA_5:426:246	LINE	L1
L1PA2	L1PA2:19:82,L1PA2:377:308,L1PA2:195:150,L1PA2:110:38,L1PA2:501:681,L1PA2:827:878,L1PA2:254:296,L1PA2:137:206,L1PA2:81:681,L1PA2:593:623,L1PA2:865:721	LINE	L1
SVA_C	SVA_C:1044:1113,SVA_C:334:463,SVA_C:71:188,SVA_C:615:789,SVA_C:1137:1356,SVA_C:895:949	SVA	SVA
MST_I	MST_I:47:1466,MST_I:1416:1545,MST_I:1341:1380	LTR	ERVL-MaLR
LTR1E	LTR1E:389:2,LTR1E:346:436	LTR	ERV1
HERV3	HERV3:4426:4384,HERV3:5153:6053,HERV3:7352:7268,HERV3:8259:7980,HERV3:4128:4401,HERV3:4581:4497,HERV3:4297:4420,HERV3:981:918,HERV3:7580:7637	LTR	ERV1
Tigger12	Tigger12:281:1271	DNA	TcMar-Tigger
HERV9	HERV9:7296:7443,HERV9:7974:8076,HERV9:6850:7087,HERV9:3456:3858,HERV9:7712:8285	LTR	ERV1
HERV23	HERV23:3710:3533,HERV23:759:681	LTR	ERV1
MER21I	MER21I:3461:3344,MER21I:2622:2529,MER21I:3390:3657,MER21I:4097:3929	LTR	ERVL
LTR32	LTR32:52:1	LTR	ERVL
L1M1_5	L1M1_5:235:94	LINE	L1
L1PA3	L1PA3:81:681,L1PA3:221:113,L1PA3:254:296,L1PA3:697:781,L1PA3:768:666,L1PA3:195:150,L1PA3:593:623,L1PA3:110:38,L1PA3:137:206,L1PA3:377:308,L1PA3:19:82,L1PA3:827:878,L1PA3:865:721,L1PA3:501:681	LINE	L1
LSAU	LSAU:496:730,LSAU:1599:1758,LSAU:319:130	Satellite	Satellite
L1PA7	L1PA7:195:150,L1PA7:697:751,L1PA7:499:463,L1PA7:568:598,L1PA7:81:681,L1PA7:129:681,L1PA7:313:223	LINE	L1
LTR12D	LTR12D:760:871,LTR12D:1211:1040,LTR12D:836:914,LTR12D:1168:658,LTR12D:913:955	LTR	ERV1
LTR7B	LTR7B:122:32,LTR7B:130:1,LTR7B:336:396,LTR7B:115:157	LTR	ERV1
L1MB4	L1MB4:614:551,L1MB4:114:672	LINE	L1
Charlie24	Charlie24:345:2151,Charlie24:544:691	DNA	hAT-Charlie
ERVL-B4	ERVL-B4:2198:5333,ERVL-B4:3849:3933,ERVL-B4:3837:3642	LTR	ERVL
MLT1J-int	MLT1J-int:48:552,MLT1J-int:562:499	LTR	ERVL-MaLR
MER101_I	MER101_I:4942:5041,MER101_I:2080:2146,MER101_I:4855:4747,MER101_I:2915:3065	LTR	ERV1
PRIMA4_I	PRIMA4_I:6124:5857,PRIMA4_I:3438:3582,PRIMA4_I:6513:7908,PRIMA4_I:2731:6325,PRIMA4_I:161:2,PRIMA4_I:6846:6756,PRIMA4_I:1204:2539	LTR	ERV1
HERVK	HERVK:7497:7194,HERVK:3350:3200,HERVK:663:408,HERVK:1146:945,HERVK:870:741,HERVK:2725:2947,HERVK:3162:5778,HERVK:4940:4979,HERVK:2981:2909	LTR	ERVK
LTR25-int	LTR25-int:6952:7123,LTR25-int:6783:6717,LTR25-int:3925:4033,LTR25-int:4540:4606,LTR25-int:5662:5797	LTR	ERV1
MER83AI	MER83AI:3870:3783,MER83AI:1553:1373,MER83AI:1963:2179,MER83AI:497:662,MER83AI:2878:3424,MER83AI:2554:2668,MER83AI:3530:4019,MER83AI:3955:3844	LTR	ERV1
FORDPREFECT	FORDPREFECT:232:505,FORDPREFECT:809:962	DNA	hAT-Tip100
CHARLIE3	CHARLIE3:916:796,CHARLIE3:648:2523,CHARLIE3:2480:2708,CHARLIE3:2176:1966,CHARLIE3:2471:2372,CHARLIE3:2018:1916	DNA	hAT-Charlie
LTR65	LTR65:125:2	LTR	ERV1
MER44D	MER44D:78:255,MER44D:420:390	DNA	TcMar-Tigger
L1PA16	L1PA16:81:681,L1PA16:137:221,L1PA16:195:153	LINE	L1
HERVK11I	HERVK11I:696:1107,HERVK11I:5623:7951,HERVK11I:2581:3079,HERVK11I:2831:2963,HERVK11I:6356:6242,HERVK11I:3294:5766,HERVK11I:6824:7022	LTR	ERVK
L1M3A_5	L1M3A_5:582:678,L1M3A_5:1357:1618,L1M3A_5:1762:1870,L1M3A_5:597:537,L1M3A_5:903:804	LINE	L1
SVA_A	SVA_A:63:180,SVA_A:1156:1240,SVA_A:326:455,SVA_A:530:647,SVA_A:24:180,SVA_A:1400:1619,SVA_A:1144:967	SVA	SVA
HSMAR2	HSMAR2:246:321	DNA	TcMar-Mariner
MER4E	MER4E:586:748,MER4E:608:440	LTR	ERV1
MLT1G3	MLT1G3:481:340	LTR	ERVL-MaLR
L1PREC1	L1PREC1:5248:5155,L1PREC1:5524:5554,L1PREC1:3603:3687,L1PREC1:5995:6133,L1PREC1:5500:5377,L1PREC1:2997:2904,L1PREC1:1330:2353,L1PREC1:4813:4888,L1PREC1:948:1116,L1PREC1:1444:2353,L1PREC1:3840:3897,L1PREC1:2763:2793,L1PREC1:3891:3849,L1PREC1:5080:5179,L1PREC1:2615:6245,L1PREC1:4250:4214,L1PREC1:6132:6162,L1PREC1:4218:4260	LINE	L1
Charlie11	Charlie11:218:1991,Charlie11:1830:1704,Charlie11:1650:1494	DNA	hAT-Charlie
HERVH48I	HERVH48I:3376:3481,HERVH48I:1485:1605,HERVH48I:3926:6452	LTR	ERV1
LTR81C	LTR81C:1060:1117	LTR	Gypsy
HERVR	HERVR:6671:6551,HERVR:3622:3496,HERVR:5679:7368,HERVR:2419:2542,HERVR:2211:5610	LTR	ERV1
UCON91	UCON91:55:145	Unknown	Unknown
MER65I	MER65I:1923:1992	LTR	ERV1
L1PREC2	L1PREC2:4266:4344,L1PREC2:3010:4021,L1PREC2:6835:6724,L1PREC2:4093:7918,L1PREC2:531:603,L1PREC2:5325:5163,L1PREC2:2520:2364,L1PREC2:6486:6531,L1PREC2:122:32,L1PREC2:6921:6984,L1PREC2:4436:4466,L1PREC2:6437:6512,L1PREC2:7432:7387	LINE	L1
HERVK9I	HERVK9I:2364:5094,HERVK9I:4891:5224,HERVK9I:152:1556,HERVK9I:5213:6020,HERVK9I:2687:2159,HERVK9I:1275:1449	LTR	ERVK
LTR1D	LTR1D:237:69	LTR	ERV1
HERVL	HERVL:161:41,HERVL:2204:5339,HERVL:712:373,HERVL:710:1787,HERVL:1729:1783	LTR	ERVL
X13_DNA	X13_DNA:154:64,X13_DNA:442:397	DNA	TcMar-Mariner
AluYb9	AluYb9:62:92	SINE	Alu
LTR7Y	LTR7Y:115:157,LTR7Y:468:387	LTR	ERV1
L1PA13_5	L1PA13_5:1258:1507	LINE	L1
AluYh9	AluYh9:64:19	SINE	Alu
THE1_I	THE1_I:160:277,THE1_I:1196:1121,THE1_I:48:1398,THE1_I:1237:1267,THE1_I:556:1033	LTR	ERVL-MaLR
L1MA3	L1MA3:93:3	LINE	L1
MER87B	MER87B:272:344	LTR	ERV1
L1PA14	L1PA14:195:150,L1PA14:81:681	LINE	L1
HERV4_I	HERV4_I:955:2506,HERV4_I:2258:2474,HERV4_I:6503:6455,HERV4_I:2590:6052,HERV4_I:5985:5835	LTR	ERV1
HERV17	HERV17:1913:3140,HERV17:6939:8565,HERV17:3669:6909	LTR	ERV1
UHG	UHG:1230:1344,UHG:757:787,UHG:165:207,UHG:451:499,UHG:238:433,UHG:360:516,UHG:661:691,UHG:307:433,UHG:1042:1078,UHG:70:133	snRNA	snRNA
LTR12	LTR12:730:499,LTR12:702:651,LTR12:498:540,LTR12:773:602	LTR	ERV1
MLT1F1	MLT1F1:387:426	LTR	ERVL-MaLR
HERVI	HERVI:842:650,HERVI:288:186,HERVI:6837:6951	LTR	ERV1
HERV39	HERV39:8407:8611,HERV39:3512:3587,HERV39:5882:5987,HERV39:8622:9057,HERV39:3628:3709	LTR	ERV1
LTR37A	LTR37A:22:121	LTR	ERV1
MER70_I	MER70_I:3047:3434,MER70_I:4452:4203,MER70_I:1909:2473,MER70_I:879:777,MER70_I:2382:2469,MER70_I:38:197,MER70_I:467:629,MER70_I:4979:4916	LTR	ERVL
FAM	FAM:141:96	SINE	Alu
RICKSHA	RICKSHA:1575:1374,RICKSHA:112:148	DNA	MULE-MuDR
MLT1A1	MLT1A1:232:340,MLT1A1:253:106	LTR	ERVL-MaLR
HERVIP10F	HERVIP10F:5311:5203,HERVIP10F:503:2216,HERVIP10F:589:487,HERVIP10F:2525:5720,HERVIP10F:4436:4253,HERVIP10F:7587:7326,HERVIP10F:5620:7735	LTR	ERV1
SVA_B	SVA_B:614:788,SVA_B:71:188,SVA_B:333:462,SVA_B:894:978,SVA_B:1043:1112,SVA_B:1136:1355	SVA	SVA
HERVFH21I	HERVFH21I:344:1262,HERVFH21I:6252:6516,HERVFH21I:337:157,HERVFH21I:2291:3089,HERVFH21I:4943:5570,HERVFH21I:6387:6129	LTR	ERV1
MLT2A2	MLT2A2:153:24,MLT2A2:4:100	LTR	ERVL
MER70C	MER70C:203:365	LTR	ERVL
L1M7_5end	L1M7_5end:1742:1835,L1M7_5end:614:665	LINE	L1
Tigger15a	Tigger15a:125:32	DNA	TcMar-Tigger
MamGyp-int	MamGyp-int:4970:4703,MamGyp-int:4026:5061,MamGyp-int:93:1275	LTR	Gypsy
LTR82A	LTR82A:293:248	LTR	ERVL
ERV3-16A3_I	ERV3-16A3_I:3955:3703,ERV3-16A3_I:2981:3152,ERV3-16A3_I:4970:4778,ERV3-16A3_I:1748:1658	LTR	ERVL
MER65C	MER65C:305:239	LTR	ERV1
SVA_F	SVA_F:985:871,SVA_F:604:778,SVA_F:1128:1374,SVA_F:983:1049,SVA_F:71:188,SVA_F:887:968	SVA	SVA
L1P4a_5end	L1P4a_5end:1303:1840,L1P4a_5end:1064:290,L1P4a_5end:1524:1377	LINE	L1
EuthAT-1	EuthAT-1:640:394,EuthAT-1:283:415,EuthAT-1:462:588	DNA	hAT
HERVK3I	HERVK3I:6004:5953,HERVK3I:5061:4974	LTR	ERVK
L2	L2:215:3170,L2:2530:2347,L2:2913:3249,L2:645:777	LINE	L2
MER121	MER121:5:119	DNA	hAT
L1M1B_5	L1M1B_5:1112:1031,L1M1B_5:817:1261	LINE	L1
LTR12C	LTR12C:541:406,LTR12C:1455:1401,LTR12C:1261:1303,LTR12C:1534:1465,LTR12C:1463:1364	LTR	ERV1
L1MEg_5end	L1MEg_5end:1773:1875	LINE	L1
LTR37-int	LTR37-int:3093:3027,LTR37-int:1885:1843,LTR37-int:83:152	LTR	ERV1
MLT1C2	MLT1C2:245:122	LTR	ERVL-MaLR
PABL_BI	PABL_BI:5521:6091,PABL_BI:6236:6347,PABL_BI:1302:1428,PABL_BI:3811:4345	LTR	ERV1
Helitron1Nb_Mam	Helitron1Nb_Mam:317:200	RC	Helitron
MER4A1_LTR	MER4A1_LTR:231:144,MER4A1_LTR:497:353	LTR	ERV1
L1ME3D_3end	L1ME3D_3end:594:447	LINE	L1
TIGGER1	TIGGER1:1656:1479,TIGGER1:424:1786,TIGGER1:983:1028	DNA	TcMar-Tigger
Tigger13a	Tigger13a:278:626,Tigger13a:106:244	DNA	TcMar-Tigger
L1PB2	L1PB2:81:681,L1PB2:418:448	LINE	L1
HERVK22I	HERVK22I:954:831,HERVK22I:2477:2345,HERVK22I:1856:2324,HERVK22I:4793:6821,HERVK22I:2296:4999	LTR	ERVK
HSMAR1	HSMAR1:178:1207,HSMAR1:830:959,HSMAR1:359:404,HSMAR1:162:243,HSMAR1:1094:1148,HSMAR1:1085:1148	DNA	TcMar-Mariner
UCON94	UCON94:9:132	Unknown	Unknown
L1PA13	L1PA13:110:38,L1PA13:313:277,L1PA13:158:128,L1PA13:195:150,L1PA13:81:681	LINE	L1
FLA	FLA:100:37	SINE	Alu
SVA_E	SVA_E:611:785,SVA_E:71:188,SVA_E:1168:1354,SVA_E:891:1056,SVA_E:562:334,SVA_E:1135:1354,SVA_E:334:535	SVA	SVA
Eutr4	Eutr4:172:295	Eutr	Eutr
ZAPHOD	ZAPHOD:3079:3154,ZAPHOD:3422:3230,ZAPHOD:2442:2688	DNA	hAT-Tip100
LTR15	LTR15:350:476	LTR	ERV1
LTR5A	LTR5A:232:394	LTR	ERVK
HERVG25	HERVG25:1095:1035,HERVG25:2599:2434,HERVG25:475:643	LTR	ERV1
HSFAU	HSFAU:444:498,HSFAU:56:455,HSFAU:204:240	Other	HSFAU
LTR12E	LTR12E:541:100,LTR12E:1126:1168	LTR	ERV1
HUERS-P2	HUERS-P2:687:483,HUERS-P2:1872:2067	LTR	ERV1
L1MDA_5	L1MDA_5:1047:1227,L1MDA_5:1360:1504,L1MDA_5:2293:2656	LINE	L1
LTR19A	LTR19A:131:167	LTR	ERV1
LTR26E	LTR26E:320:581	LTR	ERV1
LTR5_Hs	LTR5_Hs:834:966	LTR	ERVK
L1MC1	L1MC1:158:2,L1MC1:847:697	LINE	L1
MamRep605	MamRep605:539:713,MamRep605:857:707	LTR	LTR_like
L1MB4_5	L1MB4_5:1141:1021,L1MB4_5:278:2	LINE	L1
ERV24_Prim	ERV24_Prim:2400:5919,ERV24_Prim:6233:6128,ERV24_Prim:891:2217,ERV24_Prim:4956:4845,ERV24_Prim:369:303	LTR	ERV1
L1MC5	L1MC5:1590:1659,L1MC5:254:194	LINE	L1
SVA_D	SVA_D:1139:1358,SVA_D:334:463,SVA_D:71:188,SVA_D:615:789,SVA_D:994:1060,SVA_D:996:882,SVA_D:895:979	SVA	SVA
MER57I	MER57I:6517:6712,MER57I:497:701,MER57I:2860:2710	LTR	ERV1
L1ME3F_3end	L1ME3F_3end:206:2,L1ME3F_3end:595:448	LINE	L1
L1M2A_5	L1M2A_5:1715:1439	LINE	L1
MER84I	MER84I:4588:4720,MER84I:2512:2803,MER84I:625:2326	LTR	ERV1
LTR17	LTR17:143:176,LTR17:625:655	LTR	ERV1
MARE7	MARE7:132:102	DNA	TcMar-Mariner
PRIMAX_I	PRIMAX_I:2565:3525,PRIMAX_I:3126:3525	LTR	ERV1
L1M4B	L1M4B:2932:2656,L1M4B:610:457	LINE	L1
CR1_Mam	CR1_Mam:641:440,CR1_Mam:711:927,CR1_Mam:1021:778	LINE	CR1
MER52AI	MER52AI:4396:5623,MER52AI:1436:2906,MER52AI:6106:6520,MER52AI:6754:6964,MER52AI:3685:3532	LTR	ERV1
LTR58	LTR58:73:121	LTR	ERV1
HERV46I	HERV46I:4447:4546	LTR	ERV1
L1MA5A	L1MA5A:974:875,L1MA5A:595:490	LINE	L1
EuthAT-2	EuthAT-2:910:790,EuthAT-2:1389:1245,EuthAT-2:1908:1854	DNA	hAT
LTR26C	LTR26C:238:496	LTR	ERV1
HERVIP10FH	HERVIP10FH:3607:5101,HERVIP10FH:770:599,HERVIP10FH:4953:4692,HERVIP10FH:1925:1799	LTR	ERV1
PRIMA4_LTR	PRIMA4_LTR:282:189,PRIMA4_LTR:121:205	LTR	ERV1
HERV52I	HERV52I:2939:3464,HERV52I:858:801	LTR	ERV1
PABL_AI	PABL_AI:4112:4190,PABL_AI:4298:4235,PABL_AI:31:436,PABL_AI:4896:5013	LTR	ERV1
MER52A	MER52A:84:1215	LTR	ERV1
L1MB6_5	L1MB6_5:1042:1342	LINE	L1
LTR90A	LTR90A:552:720	LTR	LTR
LTR5B	LTR5B:869:1001	LTR	ERVK
L1PA12	L1PA12:195:150,L1PA12:81:681,L1PA12:684:777	LINE	L1
MLT2B3	MLT2B3:641:389	LTR	ERVL
AluSp	AluSp:155:2,AluSp:153:225,AluSp:244:172	SINE	Alu
LTR47B	LTR47B:226:151,LTR47B:199:442	LTR	ERVL
LTR25	LTR25:339:399	LTR	ERV1
HAL1M8	HAL1M8:1635:1551,HAL1M8:2604:2838,HAL1M8:2834:2921	LINE	L1
MER61I	MER61I:4175:4217,MER61I:332:2,MER61I:2588:2498	LTR	ERV1
TIGGER7	TIGGER7:2202:2172,TIGGER7:2043:1815,TIGGER7:344:392,TIGGER7:319:2128	DNA	TcMar-Tigger
LTR43_I	LTR43_I:658:577,LTR43_I:4292:4565,LTR43_I:2820:3021,LTR43_I:3087:3222	LTR	ERV1
LTR3B	LTR3B:186:33	LTR	ERVK
AluSq2	AluSq2:244:172	SINE	Alu
HERV30I	HERV30I:3081:3471,HERV30I:1604:1769,HERV30I:3572:3725,HERV30I:4057:4813,HERV30I:346:835	LTR	ERV1
L1PB2c	L1PB2c:2534:6383,L1PB2c:2081:1883,L1PB2c:5227:5347,L1PB2c:402:318	LINE	L1
L1MA2	L1MA2:93:3	LINE	L1
Kanga1	Kanga1:1438:841	DNA	TcMar-Tc2
THE1B	THE1B:103:1,THE1B:248:308,THE1B:271:346	LTR	ERVL-MaLR
MER11B	MER11B:122:158,MER11B:59:89	LTR	ERVK
L1PA15	L1PA15:195:153,L1PA15:81:681	LINE	L1
CHARLIE1A	CHARLIE1A:1169:845,CHARLIE1A:792:645	DNA	hAT-Charlie
HERVL66I	HERVL66I:1669:1525,HERVL66I:1683:1764,HERVL66I:2421:2211,HERVL66I:3215:4307	LTR	ERVL
MER103C	MER103C:159:267	DNA	hAT-Charlie
MER20	MER20:43:1	DNA	hAT-Charlie
MER70B	MER70B:391:184	LTR	ERVL
LTR78B	LTR78B:1250:1130,LTR78B:376:82	LTR	ERV1
MER39	MER39:496:586,MER39:31:241	LTR	ERV1
L1M6_5end	L1M6_5end:2388:2238,L1M6_5end:1117:1849,L1M6_5end:1416:984,L1M6_5end:892:1054	LINE	L1
MamGypLTR2c	MamGypLTR2c:1058:731	LTR	Gypsy
L1MCA_5	L1MCA_5:61:22,L1MCA_5:887:779	LINE	L1
L1PA16_5	L1PA16_5:410:485	LINE	L1
CHESHIRE	CHESHIRE:1096:1138	DNA	hAT-Charlie
MER34-int	MER34-int:6340:6253,MER34-int:4673:4535,MER34-int:3081:3438,MER34-int:310:439,MER34-int:7725:8205,MER34-int:5609:5489	LTR	ERV1
L1MD2	L1MD2:392:197	LINE	L1
Tigger10	Tigger10:170:1841,Tigger10:851:716	DNA	TcMar-Tigger
MER31_I	MER31_I:4826:4916	LTR	ERV1
LTR18C	LTR18C:236:344,LTR18C:341:248	LTR	ERVL
PTR5	PTR5:81:399	LTR	LTR
LTR2	LTR2:228:432	LTR	ERV1
MER48	MER48:176:59	LTR	ERV1
TAR1	TAR1:561:1815,TAR1:706:1699	Satellite	telo
HERV-K14CI	HERV-K14CI:5237:7433,HERV-K14CI:170:2042,HERV-K14CI:3063:5178,HERV-K14CI:4942:5065,HERV-K14CI:6243:6342,HERV-K14CI:6787:6589,HERV-K14CI:977:644	LTR	ERVK
AluYk12	AluYk12:198:234	SINE	Alu
MER1A	MER1A:259:340,MER1A:266:308,MER1A:297:525	DNA	hAT-Charlie
LTR89	LTR89:762:324	LTR	ERVL_like
MER52C	MER52C:598:883	LTR	ERV1
MLT1J	MLT1J:326:203	LTR	ERVL-MaLR
L1MC2	L1MC2:961:1060,L1MC2:851:551,L1MC2:158:2	LINE	L1
UCON89	UCON89:18:72	Unknown	Unknown
HERVE	HERVE:1128:942,HERVE:5737:7021,HERVE:3184:3268,HERVE:1879:1765,HERVE:1527:1878,HERVE:1884:2151,HERVE:2745:2556,HERVE:5419:5476	LTR	ERV1
HAL1B	HAL1B:561:642	LINE	L1
LTR28B	LTR28B:154:253	LTR	ERV1
HERVK11DI	HERVK11DI:4948:7090,HERVK11DI:3079:4327,HERVK11DI:161:2225,HERVK11DI:531:942,HERVK11DI:7046:7106,HERVK11DI:6903:6807	LTR	ERVK
LTR18B	LTR18B:484:613	LTR	ERVL
LTR8	LTR8:351:393	LTR	ERV1
UCON55	UCON55:50:167	SINE	SINE
THE1A	THE1A:160:247,THE1A:246:348	LTR	ERVL-MaLR
ERVL-E	ERVL-E:3996:4179,ERVL-E:2036:5264,ERVL-E:4191:4293,ERVL-E:133:1717	LTR	ERVL
HAL1	HAL1:1404:804	LINE	L1
X32_DNA	X32_DNA:169:322	DNA	TcMar-Mariner
MER4A1	MER4A1:367:253	LTR	ERV1
LTR12F	LTR12F:466:382	LTR	ERV1
HUERS-P3	HUERS-P3:8648:8810,HUERS-P3:6059:6374,HUERS-P3:247:562,HUERS-P3:5998:5926,HUERS-P3:7161:7062,HUERS-P3:671:962	LTR	ERV1
MSTA2	MSTA2:318:432	LTR	ERVL-MaLR
HERV57I	HERV57I:3441:3699,HERV57I:2693:3581,HERV57I:4578:4461	LTR	ERV1
MER52D	MER52D:1991:1559,MER52D:2:827	LTR	ERV1
HERV16	HERV16:4628:4454,HERV16:722:1400,HERV16:406:1	LTR	ERV1
MLT2B2	MLT2B2:463:271,MLT2B2:249:120	LTR	ERVL
HERV35I	HERV35I:5868:5829,HERV35I:3932:3884,HERV35I:5750:5783,HERV35I:1277:1181	LTR	ERV1
LTR76	LTR76:176:2	LTR	ERV1
L1M2_5	L1M2_5:1394:632	LINE	L1
